,S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
2816,2957,2015-02-19 16:52:12,1,0,0,0,0,0,0,Not difficult at all,4,7,7,3,4,PC,20,I play for fun,having fun,Silver,0,0,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,1,25,7
2817,2959,2015-02-19 16:52:13,1,1,1,1,0,2,1,Somewhat difficult,3,3,4,2,3,PC,25,I play for fun,having fun,Silver5,8,0,0,2,1,1,1,0,1,2,1,1,0,1,0,0,0,1,1,Female,28,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,7,15,12
2819,2961,2015-02-19 16:52:16,0,0,0,0,1,1,0,Somewhat difficult,5,3,3,5,3,PC,30,I play for fun,having fun,Gold IV,2,0,0,0,0,0,0,1,0,1,0,1,3,2,0,1,0,2,1,Male,20,Employed,Multiplayer - online - with real life friends,Accept,2,19,11
2820,2963,2015-02-19 16:52:17,0,0,0,0,0,1,1,Not difficult at all,6,7,7,5,5,PC,9,I play for fun,having fun,b3,15,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,30,6
2821,2964,2015-02-19 16:52:19,1,0,1,0,0,0,0,Not difficult at all,2,6,5,2,2,PC,15,I play for fun,having fun,Platinum,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Male,29,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,17,1
2822,2965,2015-02-19 16:52:20,0,0,0,0,2,1,0,Somewhat difficult,5,4,7,7,7,PC,20,I play for fun,having fun,Silver,20,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,Male,28,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,3,30,3
2823,2967,2015-02-19 16:52:23,1,1,1,2,1,1,1,Not difficult at all,4,3,3,2,2,PC,15,I play for fun,improving,Platinum,15,1,3,0,2,1,2,3,1,3,0,3,0,1,3,2,1,1,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,8,14,27
2825,2969,2015-02-19 16:52:34,0,0,1,1,0,2,1,Not difficult at all,2,5,2,2,3,PC,30,I play for fun,having fun,none,5,1,2,1,3,0,3,3,1,1,2,3,0,1,0,3,0,1,1,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,14,25
2826,2970,2015-02-19 16:52:36,1,1,1,0,1,1,1,Somewhat difficult,5,7,6,5,2,PC,20,I play for fun,improving,Silver,10,0,2,2,3,1,2,1,2,1,2,1,1,1,2,2,1,1,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,6,25,25
2827,2971,2015-02-19 16:52:36,1,0,0,1,0,1,1,Somewhat difficult,5,5,4,4,2,PC,30,I play for fun,having fun,"league platinum, csgo silver",5,1,0,3,4,1,2,1,0,3,2,1,0,0,2,1,2,1,4,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,20,24
2828,2972,2015-02-19 16:52:39,0,2,3,1,1,3,0,Somewhat difficult,1,6,5,1,1,PC,15,I play for fun,having fun,Plat 5,8,0,0,0,3,2,1,0,0,2,1,4,2,2,2,2,0,0,3,Male,18,Employed,Multiplayer - online - with real life friends,Accept,10,14,21
2829,2975,2015-02-19 16:52:45,3,3,3,3,3,3,3,Extremely difficult,1,1,1,1,1,PC,50,I play for fun,winning,Challenger,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,21,5,66
2830,2976,2015-02-19 16:52:48,1,1,2,0,0,1,2,Not difficult at all,4,7,3,2,1,PC,50,I play for fun,improving,platinum 1,2,0,0,3,3,2,1,2,3,2,1,2,3,2,3,3,0,1,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,7,17,31
2831,2977,2015-02-19 16:52:48,0,0,0,1,2,1,0,Not difficult at all,6,7,7,2,7,PC,20,I play for fun,improving,Diamond,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,3,Male,18,Student at school,Multiplayer - online - with strangers,Accept,4,29,6
2832,2978,2015-02-19 16:52:48,0,0,0,0,0,0,0,Not difficult at all,2,4,4,1,6,PC,14,I play for fun,having fun,Diamond 1,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Male,20,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,0,17,4
2833,2980,2015-02-19 16:52:56,1,0,1,0,0,1,0,Not difficult at all,6,5,6,5,4,PC,12,I play for fun,winning,"Unranked, waiting to finish promos this week.",10,0,0,0,2,1,2,3,2,1,2,4,1,2,2,0,2,1,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,3,26,25
2834,2981,2015-02-19 16:53:06,2,0,0,2,0,0,0,Somewhat difficult,4,5,3,2,7,PC,15,I play for fun,winning,silver,5,1,2,3,3,1,4,2,4,2,0,4,1,0,2,0,4,0,2,Male,24,Student at school,Multiplayer - online - with strangers,Accept,4,21,33
2836,2983,2015-02-19 16:53:08,0,0,1,0,0,0,0,Not difficult at all,2,3,4,1,1,PC,22,I play for fun,improving,Gold 2,4,2,3,0,2,1,1,2,3,3,1,3,0,0,2,1,0,1,1,Male,21,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,1,11,25
2837,2984,2015-02-19 16:53:10,0,0,0,0,0,0,0,Not difficult at all,7,7,7,7,6,PC,55,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Diamond 2,10,0,1,0,0,0,1,0,2,2,0,0,2,0,0,0,4,2,5,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,0,34,14
2838,2985,2015-02-19 16:53:10,1,1,1,1,0,2,1,Not difficult at all,6,7,6,7,6,PC,30,I play for fun,having fun,gold 3,20,2,3,2,1,2,0,3,3,1,1,4,1,0,1,0,0,4,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,7,32,28
2839,2986,2015-02-19 16:53:07,1,1,2,0,2,0,0,Somewhat difficult,2,3,3,3,7,PC,8,I play for fun,having fun,Silver 3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Male,30,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,6,18,1
2840,2987,2015-02-19 16:53:11,0,1,1,0,0,0,0,Not difficult at all,6,6,6,5,6,PC,14,I play for fun,having fun,Silver,14,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,2,29,5
2841,2988,2015-02-19 16:53:13,0,0,1,1,0,1,0,Somewhat difficult,5,5,6,3,1,PC,15,I play for fun,improving,Diamond,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,3,20,0
2842,2989,2015-02-19 16:53:14,2,1,1,1,2,2,0,Not difficult at all,3,2,5,2,1,PC,25,I play for fun,improving,Silver,30,3,3,2,3,3,3,3,0,2,1,0,1,0,2,4,1,2,3,Male,20,Employed,Multiplayer - online - with strangers,Accept,9,13,33
2844,2991,2015-02-19 16:53:17,0,0,0,0,0,0,0,Not difficult at all,6,7,7,7,6,PC,9,I play for fun,having fun,Unranked,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,0,33,3
2846,2993,2015-02-19 16:53:21,0,0,0,1,1,1,1,Somewhat difficult,3,3,2,2,1,PC,30,I play for fun,winning,"Unranked, (D5 in S4).",5,1,1,0,1,1,2,1,1,0,0,2,0,0,1,1,1,1,4,Male,24,Employed,Multiplayer - online - with real life friends,Accept,4,11,14
2847,2994,2015-02-19 16:53:21,3,3,3,3,3,3,1,Somewhat difficult,5,6,6,6,4,PC,10,I play for fun,having fun,Gold,5,1,2,3,3,4,3,2,3,1,1,2,2,1,2,3,2,4,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,19,27,39
2849,2996,2015-02-19 16:53:25,1,0,0,1,1,2,0,Somewhat difficult,4,5,2,4,2,PC,20,I play to rek scrubs and gain dat sweet rank,All of the above,Platinum,0,0,1,2,4,0,1,0,2,1,2,1,0,0,2,1,0,0,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,5,17,17
2850,2997,2015-02-19 16:53:26,3,3,3,0,1,0,1,Not difficult at all,5,6,6,4,3,PC,15,I play for fun,having fun,Bronze,2,3,0,2,4,0,4,4,3,3,4,3,1,0,0,0,3,3,2,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,11,24,37
2852,2999,2015-02-19 16:53:29,0,0,0,0,0,0,1,Not difficult at all,3,5,2,5,1,PC,24,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Platinum,10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Male,26,Employed,Multiplayer - online - with real life friends,Accept,1,16,3
2853,3000,2015-02-19 16:53:32,2,2,3,1,0,2,1,Somewhat difficult,5,5,5,6,5,PC,56,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Grand Master,0,1,0,2,3,0,0,1,4,1,0,0,0,2,0,0,1,1,1,Male,28,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,11,26,16
2854,3001,2015-02-19 16:53:32,0,1,1,1,0,2,0,Not difficult at all,1,6,3,5,1,PC,20,I play for fun,having fun,Gold 2,2,1,4,2,4,1,2,2,4,4,1,2,0,0,2,2,3,4,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,5,16,38
2855,3002,2015-02-19 16:53:34,1,1,1,1,0,1,1,Somewhat difficult,6,7,7,6,7,PC,8,I play for fun,having fun,silver 2,14,0,3,2,1,2,2,1,2,3,1,3,1,1,2,2,1,2,2,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,6,33,29
2856,3004,2015-02-19 16:53:38,1,1,1,2,2,2,2,Somewhat difficult,2,4,3,2,2,PC,25,I play for fun,winning,Gold,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,Male,27,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,11,13,3
2858,3006,2015-02-19 16:53:46,1,1,1,0,0,1,1,Somewhat difficult,3,3,4,1,5,PC,10,I play for fun,winning,Diamond 3,0,2,0,1,4,3,2,2,3,4,4,3,2,2,3,3,1,0,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,5,16,39
2859,3007,2015-02-19 16:53:47,2,2,2,1,1,2,3,Very difficult,2,5,1,4,1,PC,28,I play for fun,having fun,Gold 2,20,2,3,1,3,3,4,4,2,4,4,4,3,3,4,4,2,4,1,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,13,13,54
2860,3008,2015-02-19 16:53:49,1,0,0,1,0,0,0,Not difficult at all,4,6,7,2,6,PC,15,I play for fun,"All are important, I can only have fun and relax if I'm trying my best to win and improve",Unranked - Platinum 4 last season,4,1,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,3,Male,21,Student at college / university,Multiplayer-online - with real life friends and friends I've never met in person,Accept,2,25,8
2861,3009,2015-02-19 16:53:52,1,1,0,0,0,1,1,Somewhat difficult,1,1,2,3,2,PC,25,I play for fun,improving,platinum ,10,1,2,0,0,3,1,3,3,1,0,0,2,0,2,1,1,3,4,Male,23,Employed,Multiplayer - online - with real life friends,Accept,4,9,23
2862,3010,2015-02-19 16:53:52,0,0,1,0,1,0,0,Not difficult at all,5,5,7,6,6,PC,20,I play for fun,improving,Platinum 2,2,1,0,0,0,1,1,2,0,1,0,1,1,1,1,2,2,2,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,2,29,16
2864,3012,2015-02-19 16:53:56,0,0,1,2,0,1,0,Not difficult at all,3,5,3,2,2,PC,48,I play for fun,winning,Diamond 4,25,2,1,1,0,3,2,2,3,1,0,1,2,1,2,3,2,1,1,Male,18,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,15,27
2866,3014,2015-02-19 16:53:59,0,0,1,2,0,1,1,Not difficult at all,5,5,2,6,6,PC,35,I play for fun,improving AND relaxing,Diamond,3,1,3,1,4,1,1,2,2,3,3,4,1,0,0,2,1,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,5,24,29
2867,3015,2015-02-19 16:54:00,2,0,2,0,0,0,0,Not difficult at all,3,3,1,3,2,PC,5,I play for fun,having fun,Gold 3,10,0,2,0,1,0,1,0,0,0,0,2,4,2,3,2,0,0,1,Male,23,Student at college / university,Multiplayer - offline (people in the same room),Accept,4,12,17
2868,3016,2015-02-19 16:54:00,1,0,1,3,0,3,0,Not difficult at all,3,4,4,2,2,PC,4,I play for fun,winning,Silver 2,5,1,0,0,1,2,2,0,0,2,0,3,0,0,1,4,1,0,1,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,8,15,17
2869,3017,2015-02-19 16:54:01,0,0,0,0,0,2,0,Not difficult at all,5,2,4,4,3,PC,10,I play for fun,having fun,Diamond,30,0,0,1,1,0,1,0,3,3,0,2,0,0,1,1,0,0,5,Male,19,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,2,18,13
2870,3018,2015-02-19 16:54:00,0,0,1,0,0,1,0,Not difficult at all,4,6,6,5,3,PC,25,I play for fun,having fun,gold 4,5,1,3,1,1,0,1,2,0,3,1,4,0,0,1,3,1,1,3,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,2,24,23
2874,3023,2015-02-19 16:54:07,1,3,3,3,3,3,0,Very difficult,1,7,1,1,2,PC,10,I play for fun,improving,silver,6,3,3,4,3,2,3,0,3,4,3,1,2,0,4,3,0,0,3,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,16,12,38
2875,3024,2015-02-19 16:54:12,1,0,1,1,0,1,0,Somewhat difficult,5,4,1,2,4,PC,40,I play for fun,improving,Bronze 1,20,1,2,4,3,4,2,2,4,4,2,3,4,2,2,3,1,2,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,4,16,45
2876,3025,2015-02-19 16:54:13,1,1,0,0,0,0,0,Somewhat difficult,3,2,5,2,5,PC,18,I play for fun,having fun,Gold 5 (LoL),10,1,1,2,1,2,1,0,3,3,0,1,0,0,0,2,0,0,2,Male,27,Student at college / university,Multiplayer - online - with real life friends,Accept,2,17,17
2877,3027,2015-02-19 16:54:18,0,0,1,0,0,0,0,Not difficult at all,5,5,5,6,6,PC,14,I play for fun,having fun,Bronze 3,16,1,1,2,2,1,2,1,3,3,1,2,1,0,1,1,1,1,1,Female,23,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,1,27,24
2879,3029,2015-02-19 16:54:23,1,2,3,2,0,1,1,Somewhat difficult,3,3,4,3,2,PC,25,I play for fun,having fun,Diamond,10,2,0,2,1,0,1,2,3,2,0,3,0,0,0,2,0,1,1,Male,28,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,10,15,19
2881,3031,2015-02-19 16:54:26,0,0,1,1,0,3,0,Somewhat difficult,2,6,5,2,1,PC,6,I play for fun,having fun,Unranked,0,2,3,1,2,1,3,2,2,0,0,0,0,1,1,3,0,1,3,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,16,22
2882,3032,2015-02-19 16:54:26,1,1,0,0,0,0,0,Somewhat difficult,6,4,7,2,5,PC,20,I play for fun,relaxing,Platinum II,10,0,2,1,3,2,1,1,1,2,1,0,1,0,0,1,0,0,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,2,24,16
2883,3034,2015-02-19 16:54:26,0,0,1,1,1,1,0,Not difficult at all,5,6,7,4,4,PC,15,I play for fun,having fun,Gold,10,1,3,1,1,2,0,2,0,1,0,0,0,1,1,1,0,0,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,4,26,14
2884,3035,2015-02-19 16:54:26,0,1,1,1,0,1,1,Somewhat difficult,5,5,6,6,4,PC,8,I play for fun,having fun,Unranked ,2,1,0,2,1,1,1,0,2,2,0,2,0,0,2,1,2,0,1,Female,18,Student at college / university,Multiplayer - online - with real life friends,Accept,5,26,17
2885,3036,2015-02-19 16:54:28,0,0,0,1,0,1,0,Not difficult at all,6,6,5,4,7,PC,14,I play for fun,improving,Master,7,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,2,28,6
2886,3037,2015-02-19 16:54:32,1,2,3,2,1,2,3,Somewhat difficult,3,3,3,2,2,PC,20,I play for fun,"having fun, winning and also improving",plat,20,0,1,0,1,0,0,2,2,3,0,3,0,1,1,0,0,1,2,Male,19,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,14,13,15
2887,3038,2015-02-19 16:54:37,0,0,0,1,0,1,0,Not difficult at all,4,3,7,4,6,PC,25,I play for fun,improving,plat 5,8,2,1,0,1,2,0,0,2,0,0,1,2,0,0,0,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,2,24,11
2889,3040,2015-02-19 16:54:40,3,1,2,0,0,2,0,Somewhat difficult,1,6,5,3,2,PC,8,I play for fun,improving,Bronze 2,21,3,3,1,3,1,1,0,3,1,1,1,0,0,1,1,1,2,1,Male,20,Employed,Singleplayer,Accept,8,17,23
2891,3042,2015-02-19 16:54:43,0,0,0,1,1,1,0,Not difficult at all,4,7,4,3,5,PC,34,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,gold,14,0,2,2,1,2,3,0,2,3,1,0,2,0,1,3,1,0,3,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,3,23,23
2893,3044,2015-02-19 16:54:48,2,1,1,1,0,3,1,Somewhat difficult,2,4,2,2,3,PC,40,I play for fun,winning,Gold,10,0,1,3,2,1,3,0,3,3,2,2,2,0,2,2,1,0,4,Male,21,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,9,13,27
2894,3045,2015-02-19 16:54:50,1,0,0,1,0,1,0,Not difficult at all,6,7,7,6,6,PC,20,I play for fun,improving,Platinum,10,0,1,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,3,32,8
2896,3047,2015-02-19 16:54:53,3,3,3,3,0,3,3,Somewhat difficult,2,6,1,1,2,PC,28,I play for fun,having fun,Haven't played ranked this season (Gold V season 4),0,2,0,1,4,4,4,3,1,1,4,4,4,0,4,4,0,3,1,Male,21,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,18,12,43
2898,3049,2015-02-19 16:54:59,0,0,0,0,0,0,0,Not difficult at all,2,5,5,6,2,PC,15,I play for fun,having fun,gold 5,10,0,1,1,3,0,1,1,0,1,1,0,0,0,1,3,0,0,1,Male,26,Employed,Multiplayer - online - with strangers,Accept,0,20,13
2899,3050,2015-02-19 16:55:01,2,0,3,1,0,0,2,Not difficult at all,4,2,2,1,1,PC,20,I play for fun,improving,Unraked,40,0,1,2,4,1,2,1,4,3,2,2,2,0,1,1,1,3,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,8,10,30
2900,3051,2015-02-19 16:55:02,1,2,2,0,2,1,1,Not difficult at all,3,4,3,3,2,PC,15,I play for fun,improving,Gold,28,1,2,0,3,2,2,1,1,1,2,3,1,0,1,2,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,9,15,22
2901,3052,2015-02-19 16:55:02,1,2,2,1,0,1,1,Somewhat difficult,3,5,4,2,2,PC,14,I play for fun,improving,Unranked,26,2,2,2,3,3,3,3,2,3,2,4,3,1,2,3,2,3,1,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,8,16,43
2903,3054,2015-02-19 16:55:04,3,3,3,3,0,3,3,Extremely difficult,1,1,1,1,2,PC,50,I play for fun,winning,Platinum?,15,2,0,3,3,2,2,3,3,3,3,1,0,2,2,3,3,2,4,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,18,6,37
2904,3055,2015-02-19 16:55:10,1,2,2,2,0,1,0,Somewhat difficult,4,5,3,3,2,PC,20,I play for fun,having fun,Silver 3,16,1,2,2,1,3,2,1,1,0,1,0,2,2,1,3,0,3,3,Male,21,Student at college / university,Singleplayer,Accept,8,17,25
2905,3056,2015-02-19 16:55:10,3,2,3,1,0,1,0,Somewhat difficult,2,3,3,3,2,PC,10,I play for fun,improving,Silver IV,15,0,0,2,4,2,4,4,1,2,1,4,1,3,3,4,0,2,1,Male,22,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,10,13,37
2907,3058,2015-02-19 16:55:19,2,1,3,2,1,2,1,Somewhat difficult,1,4,4,4,2,PC,25,I play for fun,improving,s5,40,2,2,0,1,3,4,0,1,0,0,4,2,0,3,3,0,0,1,Male,20,Employed,Multiplayer - online - with real life friends,Accept,12,15,25
2908,3059,2015-02-19 16:55:22,0,0,0,0,0,2,0,Somewhat difficult,6,6,7,7,4,PC,18,I play for fun,having fun,Bronze,20,0,0,1,1,0,0,0,2,2,0,1,0,0,1,1,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,30,9
2909,3060,2015-02-19 16:55:24,2,3,3,2,2,3,2,Very difficult,2,2,2,2,1,PC,30,I play for fun,having fun,bronze v,30,3,3,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,1,Female,23,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,17,9,58
2911,3062,2015-02-19 16:55:28,3,2,2,1,0,2,0,Somewhat difficult,4,4,4,2,2,PC,15,I play for fun,improving,Diamond,21,0,1,1,3,1,2,1,0,2,2,2,1,2,3,3,1,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,10,16,25
2912,3063,2015-02-19 16:55:34,0,1,0,0,0,0,1,Not difficult at all,2,2,3,1,4,PC,12,I play for fun,winning,Platinum 4,4,2,1,0,2,2,2,3,0,0,2,0,1,1,0,2,1,2,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,2,12,21
2914,3065,2015-02-19 16:55:37,2,3,2,3,0,1,3,Extremely difficult,7,7,7,7,7,PC,60,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Platinum 2,15,1,3,1,1,3,1,0,1,2,2,2,2,1,2,4,0,0,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,14,35,26
2915,3066,2015-02-19 16:55:37,1,1,1,0,0,1,1,Not difficult at all,4,4,6,4,3,PC,25,I play for fun,improving,Bronze 1,2,2,2,0,2,0,0,0,0,1,1,1,0,0,1,2,0,0,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,5,21,12
2916,3067,2015-02-19 16:55:39,0,0,1,0,0,0,1,Somewhat difficult,6,6,6,7,6,PC,25,I play for fun,winning,Platinum,4,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,Male,29,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,2,31,9
2917,3068,2015-02-19 16:55:43,1,1,2,0,0,1,3,Somewhat difficult,3,2,6,6,3,PC,10,I play for fun,having fun,"In League of Legends I am in Bronze 4, though I switched to Dota a couple of weeks earlier.",10,1,1,0,2,1,1,1,0,3,1,1,3,2,3,4,2,1,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,8,20,27
2918,3069,2015-02-19 16:55:45,1,1,1,1,0,2,3,Extremely difficult,1,3,1,1,1,PC,20,I play for fun,having fun,Silver,5,2,1,0,3,1,3,1,0,1,1,1,2,0,1,3,1,1,3,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,9,7,22
2919,3070,2015-02-19 16:55:46,0,0,2,1,0,1,2,Not difficult at all,3,4,3,5,1,PC,3,I play for fun,improving,gold 4,0,0,2,1,2,3,2,3,1,1,1,2,1,1,2,2,0,1,1,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,6,16,25
2920,3071,2015-02-19 16:55:47,1,3,1,1,0,0,1,Very difficult,2,4,3,1,4,PC,9,I play for fun,all of the above ,Gold 3,4,0,0,1,3,0,2,0,2,4,1,4,1,0,2,1,1,3,1,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,7,14,25
2921,3072,2015-02-19 16:55:47,1,1,1,1,1,1,1,Somewhat difficult,3,5,2,3,1,PC,30,I play for fun,improving,Unranked (Gold S4),3,1,1,2,2,2,2,1,1,3,0,2,1,1,1,1,1,2,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,7,14,24
2923,3074,2015-02-19 16:55:47,2,2,2,2,1,1,1,Not difficult at all,2,2,2,2,2,PC,20,I play for fun,winning,unranked,0,2,2,3,4,3,4,3,4,4,4,4,2,3,3,1,3,3,2,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,11,10,52
2924,3075,2015-02-19 16:55:50,1,3,1,1,0,0,0,Somewhat difficult,2,6,2,2,4,PC,20,I play for fun,improving,Silver 3,18,1,0,0,3,2,3,4,0,4,2,4,3,0,2,4,0,1,1,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,6,16,33
2925,3076,2015-02-19 16:55:52,0,0,1,1,0,1,0,Not difficult at all,4,4,4,4,3,PC,8,I play for fun,having fun,Challenger,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,Male,23,Unemployed / between jobs,Co-op with my cousin,Accept,3,19,7
2926,3077,2015-02-19 16:55:52,3,2,2,3,1,2,1,Very difficult,2,2,2,2,1,PC,25,I play for fun,relaxing,Silver,10,0,2,2,2,1,1,1,3,3,1,2,1,1,2,2,1,1,2,Male,24,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,14,9,26
2927,3078,2015-02-19 16:55:53,0,0,0,0,0,0,0,Not difficult at all,3,6,2,1,4,PC,10,I play for fun,having fun,diamond v,12,0,0,0,1,0,0,1,1,3,0,4,0,0,1,0,0,0,3,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,0,16,11
2928,3079,2015-02-19 16:55:55,1,1,1,1,0,2,0,Somewhat difficult,2,3,3,3,5,PC,5,I play for fun,relaxing,silver,5,0,0,2,2,3,3,2,3,2,2,1,1,1,2,2,0,1,3,Female,19,Student at college / university,Multiplayer - online - with strangers,Accept,6,16,27
2929,3080,2015-02-19 16:55:59,0,0,0,0,2,3,3,Not difficult at all,1,1,2,1,7,PC,70,I'd like to make a living off of it,winning,Diamond,5,0,2,2,4,0,4,4,4,2,3,4,0,0,4,4,0,4,3,Male,18,Student at school,Multiplayer - online - with strangers,Accept,8,12,41
2930,3081,2015-02-19 16:56:01,2,2,3,3,3,3,2,Somewhat difficult,2,3,2,3,1,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,"HS- Legendary, LoL - Platinum",10,2,1,1,2,2,1,4,1,2,1,2,1,1,1,3,0,1,3,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,18,11,26
2932,3083,2015-02-19 16:56:02,1,0,0,0,1,1,0,Not difficult at all,1,5,2,2,2,PC,5,I play for fun,winning,Platinum,6,0,0,1,0,1,0,2,0,0,0,0,0,0,1,2,0,0,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,3,12,7
